5011200.0;-29.18
5443200.0;-28.97
5961600.0;-29.18
7430400.0;-30.44
8812800.0;-30.70
1.0368E7;-31.39
1.3392E7;-33.43
1.46016E7;-33.03
1.6848E7;-34.03
1.9008E7;-33.75
2.04768E7;-33.96
2.14272E7;-34.24
2.23776E7;-34.23
2.35008E7;-34.873
2.41056E7;-34.41
2.53152E7;-34.331
2.65248E7;-35.444
2.8512E7;-35.6215
2.95488E7;-35.8305
3.24E7;-36.8455
3.3696E7;-37.1065
3.37824E7;-37.9765
3.43872E7;-37.7125
3.4992E7;-36.6525
3.59424E7;-36.7455
3.68064E7;-36.7715
3.74112E7;-36.668
3.8016E7;-36.6675
3.86208E7;-36.644
3.98304E7;-36.6925
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
